	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	episode_key	title	season	sequence_in_season	air_date	title_upper	title_camel	johanw	memory_alpha	imdb
100	100	100	100	202	Darmok	5	2	1991-09-30 0:00:00	DARMOK	Darmok	The Enterprise encounters the Tamarians, a race with whom they have never been able to communicate. The Enterprise's mission is to open negotiations with the Tamarians - a mission that seems doomed to failure when the Tamarians kidnap Picard and strand him on a planet with their own captain to face a nameless beast.	The USS Enterprise-D is on a mission to attempt to establish communications between the Federation and the Tamarians after several previous attempts by the Federation over the last century had failed. The Tamarians had arrived at the planet nearly three weeks prior and began transmitting a signal towards Federation space. Upon arrival, the Enterprise and the Tamarian vessel make a rendezvous in orbit of El-Adrel IV. The two parties try to communicate but, like the occasions before, neither party can comprehend what the other party is saying. Captain Dathon disarms his first officer of a knife-like weapon and repeats, “Darmok and Jalad at Tanagra.” Suddenly both he and Captain Picard are transported off of their ships to the surface of El-Adrel IV. Data finds that the Tamarian vessel projected a scattering field in the ionosphere of the planet, preventing both the Enterprise and themselves from using their transporters. On the planet, Picard watches the Tamarian captain approach. He suddenly holds up two knives. 	Picard must learn to communicate with a race that speaks in metaphor under a difficult set of circumstances.
101	101	101	101	203	Ensign Ro	5	3	1991-10-07 0:00:00	ENSIGN RO	Ensign Ro	A terrorist attack by the Bajorans on a Federation outpost prompts Admiral Kennelly to send the Enterprise to aid the Cardassians from stopping the terrorist attacks. The Bajorans lost their homeworld to the Cardassians and the terrorist attacks, led by Orta, until now had been confined to Cardassian locales. Solarian 4, a Federation outpost in a nearby star system was attacked by a ship claiming to be a Bajoran ship shortly after the Federation and the Cardassians signed a treaty. Admiral Kennely asks Picard to locate the terrorist's base and to bring their leader to the Cardassian system so that peace between the two people's may be arranged.  Admiral Kennely orders Picard to take onboard ship an ensign with a less than honorable past. Ensign Ro had been involved in an incident where she was responsible for the death of a landing party, courtmartialed and imprisoned in the stockade. Admiral Kennelly had her released because she is Bajoran and might be of help on the mission. But Ensign Ro has her own orders and may be part of a Federation conspiracy.	It is a typical day as Mot trims Captain Picard's hair in the barbershop while dispensing advice on strategy while in adversarial situations with the Romulans. The conversation is interrupted by a call from Commander Riker, who reports that the USS Enterprise-D has just received a distress call from a colony on Solarion IV. As Picard leaves, Mot observes how close Solarion is to the Cardassian border and points out that he told them not to colonize it. When Picard arrives on the bridge, there is an audio-only communication from a Bajoran man claiming responsibility for destroying the colony and threatening more violence if their homeland is still kept from them. 	Captain Picard foils a plot against the Bajorans with his new Bajoran officer, Ensign Ro.
102	102	102	102	204	Silicon Avatar	5	4	1991-10-14 0:00:00	SILICON AVATAR	Silicon Avatar	The crystalline entity which destroyed the colonists at Omicron Theta III attacks the new colony at Milona IV. Riker and Data help the colonists survive the attack by leading them into caves with a chemistry that the entity apparently can't penetrate. This is the first time that there have been survivors of an attack and Dr. Marr is dispatched to the area to study the planet and interview the survivors. Dr. Marr has made it her life's work to study the entity ever since her son was killed by the entity on Omicron Theta III.  The Enterprise, with Dr. Marr on board pursues the crytalline entity in the hopes of being able to communicate with it and find a way to prevent further destruction. Dr. Marr seems obsessed with not only destroying the entity but also with Data, who apparently has the memories and journal entries of her son in his memory banks.	Commander Riker is on the surface of a lush and life-filled planet called Melona IV. He is speaking to Carmen Davila about plans for the construction of a colony there, and plans a dinner date with her. Doctor Crusher and Lieutenant Commander Data are also present and approach the two. Riker hears a loud noise in the distance and asks Carmen if construction is scheduled for today. She says there is not. The sky suddenly darkens and the Crystalline Entity appears. Data suggests that they might find cover for the colonists in caverns that lie to the east. Riker looks up at the Crystalline Entity looming large in Melona's sky. 	The Crystalline Entity returns, and the Enterprise takes aboard a scientist to help track it down, but her personal agenda does not match Capt. Picard's.
103	103	103	103	205	Disaster	5	5	1991-10-21 0:00:00	DISASTER	Disaster	The Enterprise encounters a cosmic filament which disrupts all major systems on the ship. Most of the senior officers are trapped in different places on the ship leaving Troi in command on the bridge. Picard is trapped in a turbolift with three children - winners of a science program. Riker, Data, Worf and Keiko are trapped in ten-forward and Geordi and Dr. Crusher are trapped in a cargo hold.  As the crew begin to recover, they realize that they are trapped in different areas of the ship and without any communication with other crew members. Each trapped group has its own major crises to overcome: Geordi and Dr. Crusher discover a plasma fire in the hold which is giving off radiation and the cargo in that hold explodes if it receives too much radiation; Picard and the children need to leave the turbolift before it begins to fall; Data and Riker try to get to the engineering section; Keiko goes into labor in ten-forward and Worf has to act as a mid-wife with no practical experience; the bridge crew consisting of Chief O'Brien, Ensign Ro, Ensign Mandel and Troi attempt to re-establish power, computer operation and a critical anti-matter containment field in the engines that can cause the ship to explode if not stabilized.	"In Ten Forward, Riker, Worf, Data, Chief O'Brien, and a very pregnant Keiko O'Brien are sitting at the bar discussing names for the O'Brien's baby. Miles and Keiko are arguing good-naturedly, each believing the other had agreed to name it after their respective fathers (Michael and Hiro), if it is a boy. Straight-faced, Riker advocates ""William"" as the perfect name. O'Brien excuses himself, patting Keiko's belly and addressing it as ""Michael"", telling them he's due on the bridge for a transporter simulation. In a cargo bay, Lieutenant Commander La Forge and Dr. Crusher are inventorying a collection of supply canisters. She is trying to convince him to audition for a part in her latest play, and he reluctantly sings a few lines of ""I Am the Very Model of a Modern Major-General"" from The Pirates of Penzance by Gilbert and Sullivan. He protests that he is too bashful to sing in front of other people, but Crusher insists that he is perfect, just that his musical tone was a little off, and puts his name down for the role. On the bridge, Counselor Troi introduces three children to Captain Picard as the winners of the school science fair, whose prize is a tour of the ship with the captain. Forcing down his usual awkwardness with children, Picard greets himself but refuses when asked by one of his charges if they can see the battle bridge or torpedo bay, instead offering to take them round less sensitive (and less interesting sounding) areas, such as the hydroponics and astrophysics laboratory, forcing a smile onto his face as he conducts the children onto a turbolift to begin the tour, passing a newly-arrived O'Brien. Aboard the lift, Picard tries to make conversation by asking each of the children about their respective projects. The third and oldest member of the group, Marissa Flores, is tongue-tied, and before conversation can go further, the ship is suddenly struck by an impact, and the turbolift plummets, causing the children to scream in panic. The heavy quaking is felt throughout the ship, throwing people around and causing substantial damage before it passes. Aboard the bridge, the crew picks themselves up off the deck and Ops officer Ensign Mandel reports an impact with a quantum filament, and warns that another one is headed for the ship. The conn officer, Lieutenant jg Monroe, only has time to warn all hands to brace for another impact before the ship is hit again and the helm console blows up in her face, sending her to the floor. "	Collision with a quantum filament leaves Troi in charge of a damaged and endangered Enterprise with emergency bulkheads cutting off sections of the ship.
104	104	104	104	206	The Game	5	6	1991-10-28 0:00:00	THE GAME	The Game	Riker brings a highly addictive game back from vacation and everyone on board the Enterprise becomes hooked by it, except for Data who suffers from a mysterious malfunction. The game apparently stimulates the pleasure centers of the brain while also attacking the reasoning centers. Only Wesley, on leave from the Academy, and his new friend, Robin Lefler remain unaddicted and it is up to them to save the crew.	"Commander Riker is on shore leave on Risa, where he's been spending time with a Ktarian woman named Etana. In his room at the resort he is staying at, she teases him by taking his combadge, and then, to his disbelief, throws it out a window. While they lie down together, Etana introduces to him a game involving a device that fits over the ears and projects signals into the eyes. This creates in the wearer's field of vision an image of discs going into funnels. When a disk goes into one of said funnels, the player is ""rewarded"" by receiving pleasure signals from the device. Etana says that the game can go as far as the player will take it, and Riker decides to continue playing. "	Wesley Crusher returns to the Enterprise on vacation from the Academy only to discover a mysterious alien game infiltrating and controlling the crew.
105	105	105	105	208	Unification, Part I	5	7	1991-11-04 0:00:00	UNIFICATION, PART I	Unification, Part I	Admiral Shanti advises Captain Picard that a Vulcan ambassador has gone to Romulus on an unauthorized mission. Picard sees a video picture of the Vulcan, Spock, and his Romulan contact. Picard travels to Vulcan to visit Sarek to find out why Spock went to Romulan and what he hopes to accomplish there. Despite Sarek's illness, Picard is able to see him and discovers that Spock has been in touch with a Romulan senator, Pardek. Sarek asks Picard to convey his love to Spock.  Meanwhile, Geordi and Riker inspect several metal fragments recovered from a Ferengi ship. The fragments are remains of a Vulcan Deflector system and the Federation wants to find out how the Ferengi got hold of them. The Vulcans claim to know nothing about the materials and Riker and Geordi conclude that the equipment was stolen.  When Picard returns to the Enterprise, he summons the help of the Klingons to get a cloaked ship for use to travel undetected to Romulus. After several days of unsuccessfully reaching Gowron, Picard finally gets through and convinces Gowron to provide a vessel. Meanwhile, intelligence reports confirm Spock's meeting with Pardek whom Data identifies as an advocate for peace and reunification of the Vulcans and Romulans.  While Riker and Geordi work together to discover how the Vulcan deflector unit ended up in the hands of the Ferengi, Data and Picard disguise themselves as Romulans and travel to Romulus on the Klingon ship. Once they arrive, they transport down and stop at a cafe near Pardek's office. When they spot Pardek and attempt to approach him, they are captured by Romulan guards. Later, however, they discover that Pardek had them arrested for their own protection. As Picard briefs the senator on their meeting, Spock suddenly appears before him.  This episode is the first episode of a two-part story which links the events in the series to the events in Star Trek VI: The Undiscovered Country which opened at theaters about three weeks after this two-part episode first aired. Spock, Pardek and Sarek were key figures in the Khitomer Conference which is one of the events depicted in the movie.	The USS Enterprise-D has had a terraforming mission on Doraf I cancelled and has been recalled to Starbase 234 by Fleet Admiral Brackett who is unwilling to discuss the matter over subspace. Meeting with Captain Picard in his ready room, she explains to him that one of the Federation's most prestigious and celebrated ambassadors and an advisor to Federation leaders for generations had suddenly disappeared without a trace three weeks ago. Then two days ago, intelligence suggests that the ambassador is currently on the planet Romulus. The trip was unauthorized, and there are serious worries that he has defected. If so, the potential damage to Federation security would be devastating. She shows Picard a distorted image taken on Romulus by long-range scanner on his desktop monitor that, after image enhancement, clearly shows the face of the missing ambassador – Spock. 	Picard and Data follow Spock into Romulan space on a dangerous mission.
106	106	106	106	207	Unification, Part II	5	8	1991-11-11 0:00:00	UNIFICATION, Part II	Unification, Part II	This episode is the second part of the story which began in Unification I.  Picard and Spock talk and Spock is initially uncooperative with Picard but soon accepts that Picard is representing the Federation. Picard informs Spock that his father, Sarek, has died and conveys his love to Spock. This helps Spock accept Picard as an ally and tells him that his mission to Romulus involves a plan to reunify its people with the Vulcans. Picard naturally does not trust the Romulans and Spock does not seem to fully trust either the Romulans or Picard. Picard sends Data back to the Klingon ship to attempt and access the Romulans' computer network.  Meanwhile on the Enterprise, Riker continues to investigate the theft of the deflector unit. He contacts Amarie, the ex-wife of a smuggler who was killed when the Enterprise destroyed an unmarked enemy ship that tried to interfere with the investigation.  Back on Romulus, Senator Pardek brings Picard and Spock to meet with Neral, the Romulan Proconsul who claims to support reunification. However, unknown to Spock and Picard, Neral is in league with Selas who appears in Neral's office after the Federation officers leave. Picard is very skeptical that Neral offered his support so readily without the support of the Romulan traditionalists among the council. Spock too is skeptical but is convinced that logic dictates that it is in the Federation's best interest to proceed whether the Romulans have an ulterior motive or not.  Amarie meanwhile puts Riker in touch with a Ferengi trader who reveals that the Romulans are involved in the theft of Vulcan ships. Riker contacts Picard and informs him of what he has learned. The two agree to rendezvous and Riker heads towards Romulan territory. Data, with Spock's help accesses the Romulan computer network and discovers that Neral and Pardek are out to double-cross them. Picard and Data transport back to Romulus to inform Spock and all are taken prisoner by Sela.  Sela informs them that they plan to use the stolen ships to conquer Vulcan. She plans to force Spock to deliver a speech announcing the approaching ships as a peace envoy but, in fact, they will be manned by soldiers with orders to seize control of the Vulcan government. When Spock refuses to cooperate, Sela shows them a holographic image of Spock, Picard and Data which she plans to use instead to complete her plan. When Sela leaves the room, Data and Spock set to work on the computer system to try and find an escape route. They manage to send an emergency signal to the Enterprise, which already suspects some sort of trick since they have been unable to reach Picard. Picard tells them of Sela's plan and the Enterprise destroys the ships.  Sela returns to her office planning to kill Spock and Picard but instead is tricked by holographic images giving the Federation officers the opportunity to subdue her and escape. Picard and Data return to the Enterprise while Spock decides to remain on Romulus in the hope of truly establishing peace with the Romulans.	"Ambassador Spock asks Captain Picard why he is on Romulus, and Picard tells him he is there to ask him the same question on behalf of Starfleet. Spock refuses to answer, telling Picard that his mission is a personal one of peace and will inform Starfleet when it is necessary. Picard reminds Spock that he is in a position to heavily compromise Federation security; Spock asks Picard to leave and Picard refuses, saying that despite all that he has achieved on behalf of the Federation, Spock's sort of ""cowboy diplomacy"" is not easily tolerated.  ""If you wish to undertake a mission with obvious repercussions for the Federation, then you should discuss it with the Federation. I'm here as their representative."" Picard also has the unhappy task of informing Spock that his father is dead. Taking a moment to take in the news, Spock then asks Picard to walk with him. Spock reveals that he is aware of the mind meld that Picard and his father shared to allow Sarek to complete his final mission at Legara IV. Picard tells Spock it was an honor, and Spock agrees that Sarek was a great representative for the Vulcan people and for the Federation. Picard then tells Spock of Sarek's pride in him, but Spock brushes this off as part of the emotional onslaught Sarek suffered due to his illness, but Picard disputes this… those feelings came from his father's heart. Spock is uncomfortable with this and starts to tell Picard why he is on Romulus: some time earlier, he became aware of an underground movement learning Vulcan philosophy that have been declared enemies of the Romulan government. However, some members are sympathetic to the cause like Senator Pardek, who was the one who asked Spock to come and take the first step towards the reunification of Vulcan and Romulus. Picard is very surprised: it has been centuries since the Romulan society split from the Vulcan people and have developed several fundamental differences and Spock admits that reunification may be unlikely. However, if it succeeds, the potential benefits brought about would be immense. The 'first step' that Pardek spoke of concerns a young and idealistic proconsul in the Romulan Senate who is promising reform: they may be able to convert him to their movement. When Picard asks Spock why he hasn't mentioned this either to the Federation or to the Vulcans, Spock says that it was a personal decision based on what happened with his small role in the early overtures to peace with the Klingons. ""It was I who committed Captain Kirk to that peace mission, and I who had to bear the responsibility for the consequences to him and to his crew."" Spock states that he is unwilling to risk anyone's life but his own in this venture and once again asks Picard to leave. Picard states that he almost suspects Spock's judgment is being influenced by his emotions. Spock responds that Picard speaks almost as Sarek would if he were there. Picard replies that he speaks only as a Starfleet officer and cannot ignore the risks to Spock. Spock then remarks that Picard is, in his own way, as stubborn as another captain of the USS Enterprise that he once knew. Picard takes that as a compliment, remarking that he is in good company. "	On Romulus, Picard finds Spock, as well as an underground peace movement, a double agent, a bold ulterior motive against the Federation, and a familiar adversary.
107	107	107	107	209	A Matter of Time	5	9	1991-11-18 0:00:00	A MATTER OF TIME	A Matter Of Time	The Enterprise is sent to Penthara IV which is undergoing an environmental crisis. On the way, the Enterprise encounters a disturbance in time and spot a ship which materialized in the area of the disturbance. On board the ship is Rasmussen who claims to be a scientist from the future who has returned to this exact day and time to watch Picard and the Enterprise perform their current mission.	The USS Enterprise is trying to fix extreme weather problems resulting from an asteroid collision on the planet Penthara IV, a colony with a population of some twenty million persons. On their way to Penthara IV, Worf notices a space-time distortion, followed by the appearance of a small vessel. Captain Picard tries to hail the ship, to which the occupant replies that Picard should move over. Picard takes a stand saying that the Enterprise will not go anywhere until the man explains himself. But the problem is clarified as soon as Picard takes a step away from the position on the bridge where he was standing: the man immediately beams onto the same location. He introduces himself as Berlinghoff Rasmussen, a historian from the future (specifically, the 26th century), specializing in 24th century interstellar issues. He tells Picard he has come back almost three hundred years to find them. 	Reaching Penthara IV after an asteroid wreaks havoc of catastrophic proportions, the Enterprise crew deals with trying to save the planet as well as deal with someone who claims to be a historian from the future.
108	108	108	108	210	New Ground	5	10	1991-12-30 0:00:00	NEW GROUND	New Ground	The Enterprise heads to Bilana Three to help with historic tests of a new propulsion method, a Soliton Wave, which would impart warp drive to a ship without the bulky warp drive engines. While in the sector, Worf's mother visits the ship with Worf's son, Alexander who has been having difficulties living on Earth.  Alexander stays on the Enterprise and enrolls in school but he appears to be a liar, a thief and a bully. Worf must learn to build a relationship with Alexander and learn how to be a father.  Meanwhile, the experimental ship and Soliton Wave perform beautifully at first but, something goes wrong - a power fluctuation causes the wave to go out of control, destroying the test ship and damaging the Enterprise's engines, shields and sensors. The wave, at an unexpected energy level, heads toward a populated colony at warp speed and, if it hits the colony will completely destroy it. The Enterprise must find a way to stop the wave before it is too late.	"In engineering, Lieutenant Commander Geordi La Forge is visibly excited about the history-making events about to transpire. He likens it to being present to see Chuck Yeager break the sound barrier or Zefram Cochrane engage the first warp drive. Lieutenant Commander Data and Lieutenant Worf don't share his enthusiasm. La Forge leaves them to talk with Crewman Donaldson, a fellow engineer who may be more receptive.  Worf receives a subspace communication from the transport ship Milan. It is Worf's mother, Helena Rozhenko, who has brought with her Worf's son, Alexander, to visit. Worf makes arrangements for them to come aboard. In the transporter room, Worf greets his mother and son stiffly and asks ""How long can you stay?"", to which Alexander replies, ""I'm not going back."" "	Geordi can barely curtail his enthusiasm at being able to test out a new theory of transportation, as Worf's mother boards the Enterprise with his son and news that Worf's Earthly parents can no longer care for him.
109	109	109	109	211	Hero Worship	5	11	1992-01-06 0:00:00	HERO WORSHIP	Hero Worship	The Federation loses communication with a science vessel sent to explore a strange star cluster and the Enterprise is sent to investigate. When they get there, they find the ship has been destroyed and the only survivor is a young boy who tells them that the ship was destroyed by an unknown enemy.  The boy suffers from the trauma of losing his parents and latches on to Data as his friend and hero. The boy begins emulating Data as a way of coping with the tragedy. Meanwhile, the Enterprise crew tries to discover the identity of the unknown assailants that destroyed the research ship.	The USS Enterprise-D arrives at the designated coordinates of the black cluster, scanning for the Vico within the cluster. The vessel appears to be adrift and the sensors can detect no life signs. The Vico has experienced multiple hull breaches, but it is determined that it is barely safe enough for an away team to beam over. Riker, La Forge, and Data beam on board the vessel. While on board, they gain access to the ship's computer core and begin downloading the vessel's records and logs. While they are beginning this process, the away team finds a young boy caught under the wreckage of the damaged ship. 	Data rescues an orphaned boy named Timothy from a damaged ship. As a way to repress his own pain, Timothy begins to mimic Data's personality.
110	110	110	110	212	Violations	5	12	1992-01-27 0:00:00	VIOLATIONS	Violations	A group of aliens who possess the ability to read minds are being transported by the Enterprise. They become the prime suspects when several crew members fall into an unexplained coma.	Three Ullians, Inad, Tarmin, and Tarmin's son Jev, have come on board the USS Enterprise-D. Interviewing Keiko O'Brien in Ten Forward, Tarmin probes her memory of a cup, which she knows is important but whose context she cannot recollect. With his help, Keiko remembers bit by bit that it was used by her obachan to wash brushes used in Japanese calligraphy. She thanks the Ullians for the retrieval of the pleasant memory. Tarmin attempts to persuade Dr. Crusher to undergo the probe but is reminded by Jev that they are not to probe people without permission. 	Transporting three Ullian mind-probing historians, the Enterprise crew is stymied when some of its members fall into a coma. Deanna Troi, the first crew member to come through it, cannot recall anything surrounding the incident.
111	111	111	111	213	The Masterpiece Society	5	13	1992-02-03 0:00:00	THE MASTERPIECE SOCIETY	The Masterpiece Society	" In this episode, the Enterprise encounters a group of colonists who have constructed a genetically engineered society. Unfortunately, a large stellar mass is about to pass through that region of space and the gravitational forces would destroy the colony. The Enterprise must help the colony to find a way to destroy the mass without destroying the carefully controlled society that has been built.  This episode is mosty a retread of ""For the World is Hollow, and I've Touched the Sky"" from the old series, complete with the isolated society, the Enterprise crewmember that falls in love with the local, and the major disaster that's about to destroy the colony unless the Enterprise can stop it.  "	While the USS Enterprise-D crew is observing the fragment, they find that Moab IV, one of the planets it would affect as it passes by, is inhabited by Humans and that an artificial environment biosphere has been created there on the southern continent. When they contact the inhabitants, after a reluctant response by Aaron Conor, Picard arranges for Commander Riker and an away team to beam down. 	Working together to prevent the annihilation of a perfectly balanced, isolated society (with no contingency for outside visitors) may, in fact, destroy it.
112	112	112	112	214	Conundrum	5	14	1992-02-10 0:00:00	CONUNDRUM	Conundrum	A mysterious force causes the crew of the Enterprise to lose their memories of who they are, where they are and what their mission is. They soon come to believe that they have been ordered to penetrate into the heart of the Lysian system and to destroy them. As they struggle to regain their lost memories, they struggle against the moral conflict of totally destroying a race that clearly is not their technological equal.	As the crew is going through a typical day, with Data in Ten Forward fixing Deanna Troi a Samarian sunset done in the traditional style to settle a bet over a three-dimensional chess game, Dr. Beverly Crusher tending to Kristin, a crewmember injured while cliff-diving on the holodeck, and Commander Riker arguing with Ensign Ro about her changing ship's procedure without his knowledge, the USS Enterprise-D is approached by a small vessel of unknown configuration. After the vessel initiates an intense scan of the Enterprise, a wave of green energy passes throughout the ship, and the entire crew suffers from memory loss.  	When an approaching alien ship wipes their memory, the crew struggles to put back together what happened.
113	113	113	113	215	Power Play	5	15	1992-02-17 0:00:00	POWER PLAY	Power Play	The Enterprise encounters the emergency signal of a Daedalus class ship which disappeared in the area 200 years earlier. Although the signal leads to an uninhabited moon, Troi is convinced that there is someone still alive. Due to a magnetic storm on the moon, the Enterprise is unable to use the transporters so Riker, Troi and Data attempt to use a shuttlecraft to land on the moon on a rescue mission but, the craft is destroyed by the storm.  They are joined by O'Brien who has found a way to use the transporter for a single beaming and to rig up a booster so they may be rescued by the transporters. As they are about to beam up, the storm lets loose a lightning bolt which knocks the crew unconscious. Riker manages to come to long enough to activate the booster and they are all returned to the ship.  Shortly after their return, Data, Troi, and O'Brien begin to behave strangely and they attempt to take over the ship. When their attempted mutiny fails, they run for ten-forward where they take hostage Keiko, Worf and other crew members. Picard must find a way to free the hostages, and discover why Data, Troi and O'Brien have attempted to take over the ship.	As the USS Enterprise-D attempts to identify the source of the distress call, they are confronted with extreme interference due to electromagnetic whirlwinds on the moon, which renders the sensors incapable of picking up life signs. However, Commander Data is able to identify the distress call to be consistent with that of Daedalus-class starships, which, however, have not been in service for 172 years. Captain Picard asks Data to check if any starships have been reported missing in this area. Data determines that the USS Essex under the command of Captain Bryce Shumar disappeared in the vicinity, over two hundred years ago. He also determines, that the signal from the moon is identical to the subspace signature from the Essex. The captain thinks that they have solved the mystery of the Essex, seeing no need to risk beaming down to check a ghost ship, and orders Lt. Worf to notify Starfleet. However, in that moment, Counselor Deanna Troi tells the captain that they have not necessarily solved the mystery of the missing ship, since she senses life on the moon's surface. 	A long-lost ship is found on a planet where cosmic storms prevented detection for 200 years. When a surface landing goes wrong, the away team is beamed back...with a few extra surprises.
114	114	114	114	216	Ethics	5	16	1992-02-24 0:00:00	ETHICS	Ethics	This aptly named episode begins with Worf becoming seriously injured by a falling cannister in a cargo hold - seven of his vertebrae are broken. Even in Dr. Crusher's time, this is one injury that cannot be easily mended and Worf must face the ethical choice between an experimental procedure proposed by Dr. Russell, a Klingon ritual suicide or living life as a cripple.  Worf asks Riker for his assistance in committing suicide, a ritual performed by an honorable Klingon who is irreparably injured. Riker must face his own ethical decision - help a friend to die by suicide, or help a friend to live.  Meanwhile, Dr. Crusher must find a way to deal with a doctor whose medical judgement and practice is highly unethical. Dr. Russell is a doctor that is willing to test highly experimental, untested treatments on live patients, with or without their consent, regardless of the possible results and often without attempting more traditional treatments. One of Dr. Russell's experimental treatments kills a patient, even though a more standard treatment may have saved the patient's life. On the other hand, Dr. Russell's experimental procedure for scanning and re-creating body parts, may be the only thing that can save Worf.	Lieutenant Worf and Lieutenant Commander Geordi La Forge are in Cargo Bay 3 investigating strange readings. Their tricorders are unable to detect the exact problem. Worf is preoccupied with his loss to Counselor Deanna Troi in a poker game, and no one realizes that a large, heavy container sitting on a high shelf is leaking. Another similar container is sitting on top of it. Eventually, enough of the material leaks out that the lower container begins to buckle under the weight of the upper container. The two containers fall, and the upper container hits Worf in his back. La Forge rushes over to the immobile Worf and summons emergency medical assistance. Worf wakes up in sickbay and at first he believes he is being held by a restraining field to keep him from leaving. Grim faced, Dr. Crusher informs him that his spinal cord has been crushed, resulting in paralysis. 	After an accident that leaves him no longer able to walk, Worf asks Riker to help him commit suicide.
115	115	115	115	217	The Outcast	5	17	1992-03-16 0:00:00	THE OUTCAST	The Outcast	Commander Riker falls in love with a member of the J'Naii, an androgynous society where male-female relationships are prohibited.	When the J'naii mysteriously lose track of one of their shuttlecraft within their own star system, they request the USS Enterprise-D crew to assist in the investigation to help them locate it. Three of them are on the bridge observing the effort. Data detects neutrino emissions, but can detect no source. They launch a probe, but after a few seconds it vanishes and stops transmitting for no reason. 	While aiding an androgynous race who lost a couple of members in an unmapped region of space, Riker falls for one of them, which can lead to trouble if detected, since the alien race does not endorse gender specificity.
116	116	116	116	218	Cause and Effect	5	18	1992-03-23 0:00:00	CAUSE AND EFFECT	Cause And Effect	This episode begins with the Enterprise blowing up with all hands on board. This scene, and the events leading up to it, are repeated several times with minor variations, as the crew of the Enterprise come to realize that they are caught in a time loop. Kelsey Grammer appears as the captain of another ship that has been caught in the same area of space for over 100 years.	The USS Enterprise-D is in dire straits, with the starboard warp nacelle having suffered extreme damage from an impact. As casualty reports flood in and the ship's systems start failing, Commander Riker orders all hands to proceed to escape pods as La Forge tries desperately to shut down the warp engines. At that moment, the nacelle completely blows out, sending the Enterprise into a helpless spin. Data reports that the engine shutdown failed, ejection systems are off-line, and a warp core breach is imminent. As a fire engulfs the bridge, Captain Picard orders all hands to abandon ship. Alas, it is too late, as the Enterprise explodes, killing everybody aboard. 	The Enterprise gets caught in a time loop which always has one result: total destruction of the ship, itself.
117	117	117	117	219	The First Duty	5	19	1992-03-30 0:00:00	THE FIRST DUTY	The First Duty	Wesley's flight squadron at StarFleet Academy is involved in an accident which cost the life of one of the squadron members. Wesley and the other members of the squadron are involved in a hearing to determine the cause of the accident. Picard, visiting the Academy for commencement exercises gets involved in determing the cause of the accident.	The USS Enterprise-D is en route to Earth where Captain Picard will give this year's Starfleet Academy commencement speech. While seated in his command chair, Picard asks Lieutenant Worf to inform the Academy they'll arrive at Earth in ten hours, sixteen minutes and to send his regards to Academy superintendent Admiral Brand. When asked by Counselor Troi if the captain knows Brand, Picard tells her he has met the admiral a few times before, calling her a formidable woman. Commander Riker says that hearing of Brand reminds him of his superintendent, a Vulcan. Before reaching Earth, Worf reports that they are receiving a message from Admiral Brand herself. Picard asks Worf to put the transmission on the viewscreen, but Worf notes that Brand is requesting a private channel. In Picard's ready room, Brand announces that there has been an accident involving Cadet Crusher. 	Wesley Crusher's team has an accident at Starfleet Academy. Picard offers to help a Starfleet investigation as to what happened, and begins to suspect they are hiding something.
118	118	118	118	220	Cost of Living	5	20	1992-04-20 0:00:00	COST OF LIVING	Cost Of Living	Lwaxana Troi has decided to get married again and has decided to use the Enterprise for her wedding ceremony. While the Enterprise conveys her to meet her beau, she takes Alexander under her wing and attempts to undermine the teachings of his father and her daughter. Meanwhile, the rest of the crew tries to determine the reason for several critical components disintegrating mysteriously.	The USS Enterprise-D destroys an asteroid using the navigational deflector that was in danger of colliding with Tessen III, near Starbase 117, although multiple methods are necessary. As the Enterprise continues its course to the Moselina system, however, a mysterious glittering dust heads into the ship and is absorbed. 	As undetectable parasites devour the ship, Deanna's mother arrives, taking young Alexander under her wing en route to meeting a man she's blindly agreed to marry.
119	119	119	119	221	The Perfect Mate	5	21	1992-04-27 0:00:00	THE PERFECT MATE	The Perfect Mate	A beautiful metamorph is being delivered by Ambassador Briam as a peace offering to end a centuries-long war. Unfortunately, she falls in love with Picard before she can be delivered to Chancellor Alrik. Meanwhile, two Ferengi are on board the ship attempting to gain control of the metamorph, a highly desirable and rare prize since she can shape herself to the needs and desires of any male.	"The Enterprise is en route to mediate a peace treaty between the Valtese and the Kriosians. While welcoming Ambassador Briam aboard, the Enterprise receives a distress call from a Ferengi shuttle about to suffer a collapse of the containment field and explode. The Enterprise arrives to their rescue and Ensign Hubbell manages to beam aboard the two Ferengi before their shuttle explodes. Worf escorts them to quarters. They seem thankful to be there, but when Worf leaves, they remark to themselves that it ""was too easy."" "	Ferengi machinations unleash a diplomatic gift aboard the Enterprise - the rare, empathic perfect mate, ready to bond with any male around her.
